No. of Layers,No. of Hidden Nodes,Dropout Rate,Optimizer,Accuracy
2,64,0.0,SGD,23.32
2,64,0.0,ADAM,12.14
2,64,0.0,RMSProp,3.35
2,64,0.2,SGD,21.69
2,64,0.2,ADAM,6.93
2,64,0.2,RMSProp,1.22
2,64,0.4,SGD,17.9
2,64,0.4,ADAM,2.28
2,64,0.4,RMSProp,1.0
2,64,0.6,SGD,10.75
2,64,0.6,ADAM,1.0
2,64,0.6,RMSProp,1.0
2,256,0.0,SGD,25.99
2,256,0.0,ADAM,12.9
2,256,0.0,RMSProp,1.07
2,256,0.2,SGD,23.84
2,256,0.2,ADAM,1.83
2,256,0.2,RMSProp,1.0
2,256,0.4,SGD,19.92
2,256,0.4,ADAM,1.0
2,256,0.4,RMSProp,1.0
2,256,0.6,SGD,13.56
2,256,0.6,ADAM,1.0
2,256,0.6,RMSProp,1.0
2,512,0.0,SGD,27.16
2,512,0.0,ADAM,17.1
2,512,0.0,RMSProp,1.0
2,512,0.2,SGD,25.49
2,512,0.2,ADAM,8.65
2,512,0.2,RMSProp,1.0
2,512,0.4,SGD,21.48
2,512,0.4,ADAM,1.0
2,512,0.4,RMSProp,1.0
2,512,0.6,SGD,14.56
2,512,0.6,ADAM,1.95
2,512,0.6,RMSProp,1.0
3,64,0.0,SGD,24.19
3,64,0.0,ADAM,18.51
3,64,0.0,RMSProp,1.0
3,64,0.2,SGD,19.14
3,64,0.2,ADAM,7.76
3,64,0.2,RMSProp,1.0
3,64,0.4,SGD,13.15
3,64,0.4,ADAM,1.83
3,64,0.4,RMSProp,1.0
3,64,0.6,SGD,2.67
3,64,0.6,ADAM,1.0
3,64,0.6,RMSProp,1.0
3,256,0.0,SGD,26.61
3,256,0.0,ADAM,13.19
3,256,0.0,RMSProp,1.0
3,256,0.2,SGD,23.82
3,256,0.2,ADAM,1.0
3,256,0.2,RMSProp,1.0
3,256,0.4,SGD,16.43
3,256,0.4,ADAM,1.67
3,256,0.4,RMSProp,1.0
3,256,0.6,SGD,5.02
3,256,0.6,ADAM,1.0
3,256,0.6,RMSProp,1.0
3,512,0.0,SGD,25.91
3,512,0.0,ADAM,11.94
3,512,0.0,RMSProp,1.0
3,512,0.2,SGD,25.17
3,512,0.2,ADAM,3.02
3,512,0.2,RMSProp,1.0
3,512,0.4,SGD,18.91
3,512,0.4,ADAM,1.85
3,512,0.4,RMSProp,1.0
3,512,0.6,SGD,6.18
3,512,0.6,ADAM,1.0
3,512,0.6,RMSProp,1.0
4,64,0.0,SGD,23.48
4,64,0.0,ADAM,19.63
4,64,0.0,RMSProp,7.94
4,64,0.2,SGD,17.68
4,64,0.2,ADAM,2.87
4,64,0.2,RMSProp,1.15
4,64,0.4,SGD,6.35
4,64,0.4,ADAM,1.0
4,64,0.4,RMSProp,1.0
4,64,0.6,SGD,1.94
4,64,0.6,ADAM,1.0
4,64,0.6,RMSProp,1.0
4,256,0.0,SGD,25.13
4,256,0.0,ADAM,10.86
4,256,0.0,RMSProp,3.28
4,256,0.2,SGD,22.98
4,256,0.2,ADAM,6.34
4,256,0.2,RMSProp,1.0
4,256,0.4,SGD,9.3
4,256,0.4,ADAM,1.0
4,256,0.4,RMSProp,1.0
4,256,0.6,SGD,2.13
4,256,0.6,ADAM,1.0
4,256,0.6,RMSProp,1.0
4,512,0.0,SGD,25.02
4,512,0.0,ADAM,9.24
4,512,0.0,RMSProp,1.0
4,512,0.2,SGD,24.27
4,512,0.2,ADAM,1.0
4,512,0.2,RMSProp,1.0
4,512,0.4,SGD,14.51
4,512,0.4,ADAM,1.0
4,512,0.4,RMSProp,1.0
4,512,0.6,SGD,3.13
4,512,0.6,ADAM,1.0
4,512,0.6,RMSProp,1.0
5,64,0.0,SGD,23.22
5,64,0.0,ADAM,15.56
5,64,0.0,RMSProp,8.39
5,64,0.2,SGD,13.57
5,64,0.2,ADAM,1.0
5,64,0.2,RMSProp,1.0
5,64,0.4,SGD,3.74
5,64,0.4,ADAM,1.0
5,64,0.4,RMSProp,1.0
5,64,0.6,SGD,1.21
5,64,0.6,ADAM,1.0
5,64,0.6,RMSProp,1.0
5,256,0.0,SGD,24.66
5,256,0.0,ADAM,11.21
5,256,0.0,RMSProp,1.0
5,256,0.2,SGD,20.17
5,256,0.2,ADAM,4.21
5,256,0.2,RMSProp,1.0
5,256,0.4,SGD,7.22
5,256,0.4,ADAM,1.0
5,256,0.4,RMSProp,1.0
5,256,0.6,SGD,1.2
5,256,0.6,ADAM,1.0
5,256,0.6,RMSProp,1.0
5,512,0.0,SGD,23.06
5,512,0.0,ADAM,12.42
5,512,0.0,RMSProp,1.0
5,512,0.2,SGD,23.32
5,512,0.2,ADAM,4.27
5,512,0.2,RMSProp,1.0
5,512,0.4,SGD,9.33
5,512,0.4,ADAM,1.68
5,512,0.4,RMSProp,1.0
5,512,0.6,SGD,1.47
5,512,0.6,ADAM,1.0
5,512,0.6,RMSProp,1.0
